                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4282,                 3.2444,                 2.1981,                 0.0112,                0.19126,                0.00745,                0.00188,                 3.7264,                 3.5918,                 1.9993,               0.067133,             0.00033199,             0.00033199
                      2,                 2.7933,                 2.4985,                  1.748,                0.01227,                0.30614,                0.01128,                0.00318,                 3.1728,                 3.7961,                 1.6728,               0.034001,             0.00053359,             0.00053359
                      3,                 2.5143,                 2.1915,                 1.6029,                0.02173,                0.26948,                0.01797,                0.00488,                 3.1311,                 4.1204,                  1.683,              0.0007376,             0.00060319,             0.00060319
                      4,                 2.3924,                 2.0112,                 1.5286,                0.05662,                0.08219,                0.02228,                0.00683,                 2.9925,                 3.6216,                 1.6271,               0.000406,               0.000406,               0.000406
                      5,                  2.359,                 1.9684,                 1.4835,                0.01616,                0.34525,                0.01627,                0.00579,                 3.0209,                 3.5464,                 1.6231,               0.000406,               0.000406,               0.000406
                      1,                 2.9818,                 3.3375,                 2.4407,                0.01401,                0.34494,                0.02179,                0.00595,                 2.8541,                 4.1332,                 2.1739,               0.067067,             0.00033266,             0.00033266
                      2,                 2.4889,                 2.6023,                 2.0139,                 0.3726,                0.09533,                0.08615,                0.02407,                 2.8339,                  3.639,                 2.1037,                0.03406,              0.0006594,              0.0006594
                      3,                 2.2877,                 2.3544,                 1.8673,                0.28075,                0.13596,                0.12021,                0.03973,                  2.747,                 3.3614,                 2.0846,              0.0010469,             0.00097954,             0.00097954
                      4,                 2.1518,                 2.1192,                 1.7646,                0.30732,                0.09991,                0.10499,                0.03065,                 2.8517,                 3.6915,                 2.1466,              0.0009703,              0.0009703,              0.0009703
                      1,                 2.9818,                 3.3375,                 2.4407,                0.01401,                0.34494,                0.02179,                0.00595,                 2.8541,                 4.1332,                 2.1739,               0.067067,             0.00033266,             0.00033266
                      2,                 2.4889,                 2.6023,                 2.0139,                 0.3726,                0.09533,                0.08615,                0.02407,                 2.8339,                  3.639,                 2.1037,                0.03406,              0.0006594,              0.0006594
                      3,                 2.2877,                 2.3544,                 1.8673,                0.28075,                0.13596,                0.12021,                0.03973,                  2.747,                 3.3614,                 2.0846,              0.0010469,             0.00097954,             0.00097954
                      4,                 2.1518,                 2.1192,                 1.7646,                0.30732,                0.09991,                0.10499,                0.03065,                 2.8517,                 3.6915,                 2.1466,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.0899,                 1.9744,                 1.6986,                0.28812,                0.13627,                0.13054,                0.04247,                 2.8272,                 3.3711,                 2.0583,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.0294,                 1.8874,                 1.6496,                0.40617,                0.09105,                0.11376,                0.03648,                 2.8588,                 3.8691,                 2.1173,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.9743,                 1.7842,                 1.5958,                0.31003,                0.14299,                0.13716,                0.05371,                 2.6137,                 3.4161,                 1.9517,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.9431,                 1.7283,                 1.5674,                 0.3085,                0.16774,                 0.1433,                0.04284,                 2.7916,                 3.4418,                 2.0295,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.9013,                 1.6675,                 1.5404,                0.39162,                0.15949,                0.17188,                 0.0641,                  2.625,                 3.6961,                 1.9253,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.8701,                 1.6075,                 1.5164,                0.17202,                0.06538,                0.06326,                0.02209,                 2.8834,                 4.0872,                 2.0228,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.8585,                 1.5579,                 1.5013,                0.39184,                0.14054,                0.14451,                0.04353,                 3.0368,                  3.764,                  2.158,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.8185,                 1.5039,                  1.463,                0.38849,                0.09563,                0.10873,                0.03611,                 2.8676,                  4.108,                 2.1128,               0.000901,               0.000901,               0.000901
                     13,                 1.7901,                 1.4774,                 1.4492,                0.36658,                0.13932,                0.15455,                0.05753,                 2.7625,                 3.6869,                 1.9473,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.7822,                 1.4489,                 1.4399,                0.29458,                0.12771,                0.12811,                0.04148,                 2.9031,                 3.7424,                 2.0411,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.7637,                 1.4083,                 1.4227,                0.37942,                0.10405,                0.11673,                0.04559,                 2.7479,                 4.1111,                 1.9417,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.7481,                 1.3893,                 1.4143,                0.13788,                0.08188,                0.05343,                0.02003,                 2.8863,                 4.2204,                 2.0231,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.7314,                 1.3498,                 1.3975,                0.27869,                0.08405,                0.09752,                0.02905,                 3.0582,                 4.1525,                 2.1025,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.7229,                 1.3456,                 1.3835,                0.13869,                0.09471,                0.07946,                0.02204,                 3.0545,                 3.9996,                 2.2156,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.7095,                 1.3394,                 1.3775,                0.42608,                0.11455,                0.16197,                 0.0517,                 2.8454,                 4.4799,                 2.0377,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.6901,                 1.3089,                 1.3777,                0.29106,                0.09624,                 0.1106,                0.03556,                 3.1195,                 4.3691,                  2.203,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.6684,                 1.2752,                 1.3519,                0.45276,                0.10938,                0.13803,                0.04977,                 2.9418,                 3.8694,                 2.1354,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.6826,                 1.2893,                 1.3598,                 0.3875,                0.08372,                0.10618,                0.03843,                  3.004,                  4.564,                   2.11,               0.000802,               0.000802,               0.000802
                     23,                 1.6589,                 1.2695,                  1.344,                0.34118,                0.09349,                0.11579,                 0.0374,                  3.047,                 4.2195,                 2.1593,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.6604,                 1.2532,                 1.3403,                0.37696,                0.09135,                0.10917,                 0.0351,                 3.1475,                 4.4873,                 2.1886,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.6443,                 1.2362,                 1.3354,                0.34748,                0.10419,                 0.1288,                0.04839,                 3.0194,                 4.2832,                 2.0964,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.6205,                 1.2155,                 1.3185,                0.44333,                 0.0883,                0.11859,                0.03762,                 3.1175,                  4.638,                 2.2001,              0.0007624,              0.0007624,              0.0007624
